Frecuencia de transito nocturna,Zona,Estrato,Que tan agradable es transitar?,Las caracteristicas de la zona:,Cantidad de personas le generan:,Zona segura si hay presencia de:,Los andenes le permiten:,Medio de transporte que utiliza,Que sensacion experimenta en TP?,Hora militar,Edad,Actividad Principal,Escolaridad
3,Rafael Uribe Uribe,3,4,7,8,4,2,1,2,19:00:00,36,1,5
2,Rafael Uribe Uribe,3,3,5,6,1,2,1,2,22:00:00,25,3,8
2,Rafael Uribe Uribe,3,2,6,7,1,2,1,2,22:00:00,53,2,6
3,Rafael Uribe Uribe,2,4,1,5,3,1,1,7,21:00:00,45,1,5
3,Rafael Uribe Uribe,3,3,3,7,3,2,1,2,18:00:00,29,1,8
3,Rafael Uribe Uribe,3,2,4,4,3,1,1,2,21:30:00,31,1,6
3,Rafael Uribe Uribe,2,3,6,4,3,2,1,12,22:00:00,45,1,4
3,Rafael Uribe Uribe,2,4,3,2,3,2,1,3,20:30:00,25,1,6
3,Rafael Uribe Uribe,2,3,2,7,2,2,3,2,88,25,3,7
2,Rafael Uribe Uribe,3,3,2,2,3,1,1,3,20:00:00,22,2,6
3,Rafael Uribe Uribe,3,2,3,1,3,1,1,1,20:00:00,27,1,6
3,Rafael Uribe Uribe,2,4,3,2,4,1,1,2,19:00:00,23,2,6
3,Rafael Uribe Uribe,2,4,3,6,4,1,1,3,04:00:00,22,2,7
3,Rafael Uribe Uribe,2,4,3,1,3,1,1,4,18:30:00,25,2,6
3,Rafael Uribe Uribe,3,4,3,1,3,1,1,3,22:00:00,35,3,8
2,Kennedy,2,4,3,4,4,1,3,1,88,35,1,5
3,Rafael Uribe Uribe,2,3,3,6,3,1,1,2,88,35,1,6
2,Rafael Uribe Uribe,1,2,1,2,3,1,1,3,13:00:00,37,1,4
3,Rafael Uribe Uribe,2,4,3,4,3,1,1,2,20:00:00,40,1,6
3,Rafael Uribe Uribe,3,4,2,4,3,1,1,3,22:00:00,21,2,5
1,Kennedy,3,3,5,7,3,1,1,1,22:00:00,23,1,5
3,Rafael Uribe Uribe,3,2,1,1,3,2,1,2,05:00:00,18,3,5
1,Rafael Uribe Uribe,3,3,4,3,3,1,1,2,88,60,1,5
2,Rafael Uribe Uribe,3,4,3,5,4,1,1,2,88,56,1,5
1,San Cristóbal,3,2,1,4,4,1,1,1,17:00:00,63,1,5
1,Soacha,3,3,4,4,4,1,1,3,23:00:00,43,1,8
1,Engativá,3,4,3,5,1,1,1,3,19:00:00,28,1,5
3,Rafael Uribe Uribe,3,3,4,6,4,1,1,2,88,36,1,6
1,Rafael Uribe Uribe,2,3,3,4,3,1,1,11,88,56,1,5
3,Rafael Uribe Uribe,3,3,5,5,4,1,1,2,88,38,1,5
1,Ciudad Bolívar,2,3,3,4,3,1,1,2,19:00:00,20,4,8
1,Ciudad Bolívar,1,3,1,3,3,2,1,7,18:00:00,54,1,4
1,Usme,1,3,3,4,4,1,1,2,88,30,7,6
3,Rafael Uribe Uribe,2,3,3,5,3,1,1,2,19:00:00,44,1,6
3,Rafael Uribe Uribe,3,3,3,7,1,2,1,11,19:00:00,30,3,8
3,Soacha,2,3,3,1,1,2,1,6,88,33,1,2
1,Rafael Uribe Uribe,2,4,3,5,2,1,1,4,23:00:00,65,1,4
2,Rafael Uribe Uribe,2,3,3,4,4,2,1,11,19:00:00,64,1,3
2,Rafael Uribe Uribe,3,2,3,3,3,1,1,2,18:00:00,52,1,7
2,Rafael Uribe Uribe,3,2,3,3,2,2,1,1,19:00:00,23,1,7
2,Rafael Uribe Uribe,3,2,1,3,2,2,1,1,21:00:00,50,1,8
2,Rafael Uribe Uribe,2,3,3,3,2,1,1,2,88,16,2,4
2,Rafael Uribe Uribe,2,2,3,3,4,2,1,3,19:00:00,23,1,4
3,Ciudad Bolívar,1,2,4,4,3,2,1,2,19:00:00,34,4,5
2,Rafael Uribe Uribe,3,2,3,5,3,1,1,2,88,45,1,8
2,Rafael Uribe Uribe,3,3,2,7,3,1,1,2,22:00:00,36,1,5
2,Rafael Uribe Uribe,2,3,1,2,1,1,4,4,23:30:00,23,4,1
2,Rafael Uribe Uribe,2,3,5,3,3,2,1,3,88,46,1,7
3,Tunjuelito,2,2,5,2,3,2,1,2,1900-01-01 00:00:00,25,1,4
3,Los Mártires,3,3,5,4,3,2,5,1,21:00:00,20,1,5
1,Los Mártires,3,2,1,7,3,1,1,1,23:00:00,21,5,5
3,Usme,1,2,4,7,3,1,3,10,22:00:00,16,3,4
2,99,3,3,3,4,3,1,3,2,21:00:00,39,1,5
2,Los Mártires,3,2,3,4,1,1,3,3,18:00:00,47,5,5
2,Los Mártires,3,3,3,4,3,1,3,2,88,45,1,4
2,Los Mártires,3,1,2,1,3,1,3,1,88,54,6,8
1,Los Mártires,3,3,6,7,2,2,3,1,88,19,2,7
3,Los Mártires,3,4,2,2,3,1,12,2,88,55,1,8
3,Los Mártires,3,4,5,5,1,1,3,2,88,56,1,6
3,Los Mártires,3,3,6,4,3,1,5,1,22:00:00,27,3,8
2,Los Mártires,3,3,2,4,1,2,3,4,88,50,1,5
3,Los Mártires,3,3,2,4,1,2,6,1,17:00:00,26,1,8
2,Los Mártires,3,3,2,1,1,2,5,8,20:00:00,17,2,4
3,Los Mártires,3,2,2,1,3,2,3,1,22:00:00,52,1,1
3,Suba,3,3,3,4,4,1,1,12,88,32,1,6
3,Usme,2,3,1,5,1,1,3,2,19:00:00,64,5,4
3,Los Mártires,3,2,3,4,3,1,1,2,99,18,1,8
3,Los Mártires,3,2,3,7,3,2,3,3,88,43,3,8
2,Los Mártires,3,2,3,4,3,1,3,2,88,48,1,4
3,Antonio Nariño,3,3,1,6,3,1,1,2,21:30:00,48,5,5
3,Los Mártires,3,2,3,1,3,2,12,1,23:30:00,24,1,4
3,Los Mártires,3,2,2,2,2,2,3,1,88,35,1,5
2,Los Mártires,3,2,2,1,2,2,3,1,88,27,1,5
1,Los Mártires,3,2,2,7,1,2,3,1,88,42,1,4
2,Los Mártires,3,2,3,4,3,1,3,2,88,38,5,6
3,Los Mártires,3,2,4,1,3,1,6,1,88,32,1,8
3,Los Mártires,3,2,3,5,3,1,3,1,99,60,1,8
3,Los Mártires,3,2,3,5,3,2,3,2,88,58,1,6
3,Los Mártires,3,2,6,1,3,2,3,1,88,38,1,4
3,Los Mártires,3,2,2,4,3,1,6,1,88,60,1,6
3,Los Mártires,3,2,2,7,3,2,9,1,88,33,1,6
3,Los Mártires,3,3,5,4,1,1,3,2,88,56,5,5
3,Los Mártires,3,3,5,5,3,1,3,2,88,26,1,8
3,Los Mártires,3,4,3,4,3,2,1,2,88,48,1,8
1,Los Mártires,3,2,2,5,1,2,4,12,88,29,1,8
2,Los Mártires,3,3,5,6,3,1,3,2,17:30:00,25,1,9
3,Puente Aranda,3,3,3,6,3,1,12,4,18:00:00,16,2,4
1,Antonio Nariño,3,3,3,4,3,2,3,3,88,21,1,6
3,Ciudad Bolívar,1,3,5,1,3,2,1,4,23:00:00,21,1,6
3,Puente Aranda,3,2,2,1,1,2,1,3,22:00:00,29,1,6
3,Los Mártires,3,3,5,6,3,2,3,12,88,46,1,8
3,Usme,1,2,6,4,3,2,1,12,88,39,1,3
3,Los Mártires,3,3,5,4,3,2,3,1,21:00:00,59,5,8
3,Bosa,3,3,3,4,1,1,10,12,20:00:00,45,1,6
3,Ciudad Bolívar,2,3,4,2,3,2,10,1,18:00:00,35,1,4
3,Los Mártires,3,4,3,4,3,2,12,12,88,64,5,6
2,Kennedy,3,3,3,4,3,2,3,11,88,63,6,6
3,Los Mártires,3,4,5,4,3,2,12,11,21:00:00,17,2,4
2,Los Mártires,3,2,1,7,3,1,12,1,88,57,5,5
1,Puente Aranda,3,2,5,1,3,2,3,3,21:00:00,30,1,7
3,Puente Aranda,3,2,5,5,3,2,3,3,21:00:00,55,1,5
3,Antonio Nariño,3,3,3,4,1,2,1,3,20:00:00,32,1,6
3,Ciudad Bolívar,1,3,2,7,1,2,4,4,22:00:00,21,2,7
3,Los Mártires,3,2,4,7,3,2,1,2,21:00:00,35,1,6
3,Los Mártires,3,2,2,7,3,1,1,2,23:00:00,20,1,7
3,San Cristóbal,3,3,6,7,3,1,1,12,19:00:00,30,3,6
3,Puente Aranda,3,2,1,4,3,2,1,1,88,21,1,5
2,Puente Aranda,3,4,3,5,1,1,3,12,88,32,1,6
1,Ciudad Bolívar,2,2,1,1,3,2,3,1,22:00:00,22,1,5
3,Antonio Nariño,3,3,3,6,3,2,6,4,23:00:00,64,5,5
2,Antonio Nariño,3,2,4,1,1,2,1,2,22:00:00,73,1,6
3,Puente Aranda,3,2,1,1,2,2,12,1,21:00:00,67,1,4
2,Antonio Nariño,3,3,5,1,3,2,3,2,22:00:00,18,2,5
3,Antonio Nariño,3,2,1,3,1,2,3,2,21:00:00,35,1,8
3,Antonio Nariño,3,3,3,4,3,2,6,1,88,39,1,8
2,Los Mártires,3,3,3,4,3,1,3,3,18:00:00,53,5,5
3,Los Mártires,3,3,1,5,1,2,3,1,20:00:00,37,1,8
3,Puente Aranda,3,2,1,1,3,2,1,2,21:00:00,38,1,5
3,Antonio Nariño,3,1,4,1,1,2,5,2,19:00:00,53,7,8
3,Antonio Nariño,3,3,3,4,3,2,3,3,88,27,1,5
1,Antonio Nariño,3,3,2,4,3,2,4,1,88,35,1,6
3,Antonio Nariño,3,3,2,2,3,2,3,2,88,23,1,5
2,Antonio Nariño,3,4,3,4,3,2,6,3,88,62,1,3
2,Santa Fe,2,3,5,6,1,2,3,9,19:00:00,28,1,6
2,Antonio Nariño,3,3,3,6,1,2,3,5,18:00:00,52,1,4
1,Kennedy,3,3,3,4,3,2,3,12,22:00:00,35,1,6
3,Antonio Nariño,3,4,3,6,1,1,4,3,88,36,1,6
1,Antonio Nariño,3,2,3,4,3,2,1,1,88,28,1,5
2,Antonio Nariño,3,3,2,4,3,2,3,1,19:00:00,23,2,7
2,Rafael Uribe Uribe,2,2,1,1,1,2,9,4,21:00:00,21,1,5
2,Kennedy,3,2,1,5,1,2,3,1,19:00:00,50,1,6
1,San Cristóbal,2,2,4,99,1,1,3,2,88,28,1,4
3,Antonio Nariño,3,2,2,5,2,2,5,1,20:00:00,50,1,9
1,Rafael Uribe Uribe,3,2,1,2,3,2,4,1,19:00:00,33,1,6
2,Los Mártires,3,2,4,7,4,2,3,11,88,58,1,5
1,Antonio Nariño,3,2,1,8,1,2,5,12,88,20,2,7
3,Antonio Nariño,3,4,3,4,1,2,5,99,18:00:00,71,6,6
3,Antonio Nariño,3,2,3,2,1,1,5,11,19:00:00,34,1,8
3,Antonio Nariño,3,4,5,1,3,2,3,1,18:00:00,50,3,8
1,Antonio Nariño,3,3,3,1,3,2,5,2,88,33,1,7
3,Antonio Nariño,3,3,1,5,2,1,1,2,22:00:00,23,1,8
1,Los Mártires,3,3,5,8,3,2,3,10,19:00:00,47,1,6
1,San Cristóbal,2,2,2,3,3,3,3,2,88,37,1,8
3,Los Mártires,3,2,2,4,3,1,3,12,19:00:00,26,2,6
2,Antonio Nariño,3,2,2,6,4,2,4,1,20:00:00,18,2,5
3,Antonio Nariño,3,4,3,5,1,1,9,12,18:00:00,22,2,6
3,Antonio Nariño,3,4,5,5,3,3,3,11,18:00:00,72,6,6
3,Los Mártires,3,2,5,4,3,1,5,12,23:00:00,73,6,8
3,Los Mártires,3,4,5,8,3,2,1,5,18:00:00,25,1,6
3,Ciudad Bolívar,1,3,1,4,3,1,4,12,21:00:00,41,1,5
3,Antonio Nariño,3,3,5,7,3,3,3,12,88,42,1,9
3,Antonio Nariño,3,3,5,7,2,3,3,12,88,68,1,5
3,Los Mártires,4,4,1,5,3,2,3,9,88,25,3,9
3,Antonio Nariño,3,3,4,6,3,3,6,12,20:00:00,48,1,8
3,Puente Aranda,3,3,3,4,1,2,3,1,18:00:00,37,1,5
3,Los Mártires,3,4,5,8,3,1,5,1,88,58,1,8
1,Bosa,2,2,1,8,4,1,1,4,20:00:00,60,5,4
3,Antonio Nariño,3,3,5,5,4,2,12,12,18:00:00,41,1,9
2,Los Mártires,3,3,2,6,3,3,12,1,21:00:00,23,1,5
2,Rafael Uribe Uribe,2,2,3,4,3,1,1,2,19:30:00,49,1,7
2,Rafael Uribe Uribe,2,3,1,3,3,2,1,4,19:30:00,24,1,8
2,Rafael Uribe Uribe,2,2,3,3,1,1,1,3,22:00:00,65,1,3
2,Tunjuelito,2,2,3,3,1,2,1,3,18:00:00,16,2,4
2,Tunjuelito,1,2,3,3,1,1,1,3,18:00:00,36,1,3
3,Tunjuelito,2,4,3,6,1,1,1,2,21:00:00,24,1,5
1,Tunjuelito,2,2,1,1,3,2,1,6,88,32,1,6
3,Rafael Uribe Uribe,3,2,2,2,1,1,1,1,21:00:00,19,1,6
2,Rafael Uribe Uribe,3,4,2,1,3,2,1,2,88,24,1,6
3,Rafael Uribe Uribe,2,3,4,4,1,1,1,3,88,60,1,3
1,Rafael Uribe Uribe,2,4,5,4,3,2,1,3,88,57,1,5
2,Tunjuelito,2,4,2,4,3,2,1,3,19:30:00,36,1,3
3,Rafael Uribe Uribe,2,3,5,4,4,1,1,2,18:30:00,50,1,6
3,Tunjuelito,1,3,3,4,3,2,1,9,20:00:00,19,2,7
3,Tunjuelito,1,4,3,5,4,1,12,5,19:00:00,16,2,4
3,Tunjuelito,2,2,1,1,3,2,1,2,20:00:00,21,2,6
3,Tunjuelito,2,3,2,4,4,1,1,5,05:00:00,23,3,7
3,Rafael Uribe Uribe,1,4,3,2,4,1,12,9,18:00:00,16,2,4
3,Rafael Uribe Uribe,1,4,3,6,4,1,1,1,18:00:00,16,2,4
3,Tunjuelito,2,4,3,4,4,2,1,3,22:00:00,37,4,5
3,Tunjuelito,2,2,2,7,3,2,1,2,19:00:00,20,2,8
3,Tunjuelito,2,3,3,7,3,2,1,2,22:00:00,21,3,8
3,Tunjuelito,2,3,3,5,3,2,1,2,88,35,1,6
2,Rafael Uribe Uribe,1,2,3,7,4,1,1,2,21:00:00,30,1,4
1,Tunjuelito,2,2,6,4,3,2,1,2,21:00:00,40,1,5
1,Tunjuelito,2,3,2,4,1,2,1,2,18:00:00,40,1,2
2,Tunjuelito,3,3,2,2,3,1,1,3,88,22,3,7
3,Tunjuelito,2,3,2,4,3,2,1,3,18:00:00,22,3,8
3,Tunjuelito,2,3,3,5,3,1,1,3,19:00:00,18,3,6
2,Tunjuelito,1,3,3,5,4,2,1,1,22:00:00,17,3,5
2,Tunjuelito,2,3,5,3,3,1,1,4,23:00:00,20,2,6
2,Tunjuelito,1,3,3,4,3,1,1,3,88,54,1,3
2,Rafael Uribe Uribe,2,4,3,5,1,2,1,3,88,49,1,5
3,Usme,2,4,3,5,1,1,1,2,88,39,1,5
3,Tunjuelito,2,2,2,4,1,2,1,3,88,60,1,5
1,Tunjuelito,2,3,5,4,3,1,1,5,20:00:00,17,2,6
3,Rafael Uribe Uribe,2,2,6,1,4,2,1,11,20:00:00,19,3,7
3,99,2,2,5,1,3,2,1,2,21:00:00,48,1,5
2,Rafael Uribe Uribe,2,2,2,3,3,3,1,7,21:00:00,54,1,4
2,Rafael Uribe Uribe,2,2,1,3,1,1,1,3,22:00:00,27,1,6
2,Rafael Uribe Uribe,2,3,3,3,3,1,1,3,88,69,5,2
2,Rafael Uribe Uribe,2,3,3,3,4,1,1,2,88,59,1,4
2,Rafael Uribe Uribe,2,2,1,4,1,1,1,2,19:00:00,29,3,5
2,Rafael Uribe Uribe,2,2,3,3,4,1,1,3,18:00:00,59,1,5
2,Rafael Uribe Uribe,2,3,3,4,1,2,1,2,18:00:00,22,1,6
2,Rafael Uribe Uribe,2,2,1,4,1,1,1,2,88,39,1,2
3,Rafael Uribe Uribe,2,2,3,2,1,1,1,1,19:00:00,18,2,4
2,Rafael Uribe Uribe,2,4,3,4,1,1,1,3,16:00:00,40,1,5
2,Rafael Uribe Uribe,3,2,1,1,1,1,1,2,18:00:00,45,1,5
1,La Candelaria,1,2,4,1,3,2,4,1,18:00:00,64,1,2
3,Usme,2,4,3,5,4,2,1,1,18:00:00,18,1,6
2,Tunjuelito,2,4,3,4,3,1,1,2,06:00:00,22,1,6
3,Tunjuelito,2,3,3,1,3,1,1,2,20:00:00,19,3,6
3,Tunjuelito,2,4,3,1,3,2,1,2,19:00:00,37,1,8
3,Tunjuelito,2,2,5,1,3,2,1,2,05:00:00,35,1,6
1,Tunjuelito,2,3,3,1,4,1,1,5,22:00:00,17,2,5
3,Tunjuelito,2,4,3,4,3,1,1,2,05:30:00,28,1,6
3,Tunjuelito,2,4,3,4,4,1,1,11,18:00:00,20,3,6
3,Tunjuelito,2,4,3,5,3,1,1,2,05:00:00,47,1,2
3,Tunjuelito,2,4,3,1,3,1,1,2,05:00:00,45,1,4
1,Tunjuelito,2,2,1,5,4,2,1,6,22:00:00,23,1,5
3,Tunjuelito,2,3,3,4,3,1,1,6,20:00:00,17,4,5
3,Tunjuelito,2,4,3,4,3,1,1,3,18:00:00,30,1,8
3,Tunjuelito,2,2,3,5,3,1,1,2,19:00:00,18,2,6
3,Tunjuelito,1,4,1,6,3,1,1,2,06:00:00,50,1,4
3,Rafael Uribe Uribe,2,4,3,2,3,1,1,2,06:00:00,35,1,8
1,Rafael Uribe Uribe,2,3,3,4,3,2,1,10,17:00:00,64,5,2
2,Tunjuelito,2,3,3,7,3,2,1,2,22:00:00,26,1,6
3,Tunjuelito,2,4,3,4,1,1,1,3,88,50,1,6
3,Rafael Uribe Uribe,2,3,3,3,2,1,1,2,88,51,1,4
2,Rafael Uribe Uribe,1,3,3,7,3,1,1,2,88,34,1,3
2,Rafael Uribe Uribe,2,3,1,7,3,2,1,2,21:00:00,20,1,5
1,Tunjuelito,2,3,1,7,1,2,1,2,18:00:00,36,1,5
1,Rafael Uribe Uribe,2,3,3,2,1,2,1,1,21:00:00,26,1,5
1,Rafael Uribe Uribe,2,3,4,7,3,2,1,2,88,27,2,6
2,Tunjuelito,2,4,3,4,4,2,1,2,20:00:00,23,1,8
3,Rafael Uribe Uribe,2,4,3,4,3,2,1,2,88,22,1,6
3,Tunjuelito,2,3,3,3,3,2,1,2,17:30:00,19,1,8
2,Tunjuelito,2,2,6,3,1,2,1,2,22:00:00,25,1,8
3,Rafael Uribe Uribe,2,2,1,7,3,2,1,2,18:00:00,27,1,6
3,Tunjuelito,2,4,6,4,4,1,1,2,88,35,1,99
2,Tunjuelito,2,3,6,7,3,2,1,2,22:00:00,20,2,8
3,Rafael Uribe Uribe,2,3,3,5,1,1,1,1,20:00:00,47,1,5
2,Rafael Uribe Uribe,2,3,6,3,3,2,1,2,88,18,1,5
2,Rafael Uribe Uribe,1,2,3,1,1,1,1,2,18:00:00,40,1,8
2,Tunjuelito,2,4,1,1,3,2,1,2,22:00:00,71,1,2
3,Tunjuelito,2,3,5,5,1,2,1,4,88,49,1,8
1,Rafael Uribe Uribe,3,3,5,4,4,1,1,5,23:00:00,17,2,4
3,Rafael Uribe Uribe,1,2,3,6,1,1,1,2,88,15,2,4
2,Rafael Uribe Uribe,1,2,1,1,3,2,1,1,21:00:00,17,1,5
2,Rafael Uribe Uribe,2,3,5,4,3,2,1,2,22:00:00,25,1,6
3,Rafael Uribe Uribe,2,4,3,4,4,2,1,10,88,34,1,8
3,Rafael Uribe Uribe,2,3,3,4,3,2,1,2,22:00:00,21,3,7
3,Rafael Uribe Uribe,2,3,3,4,4,2,1,2,22:00:00,19,4,5
1,Rafael Uribe Uribe,2,4,5,4,1,1,1,3,88,40,1,4
3,Rafael Uribe Uribe,2,3,3,4,4,2,1,2,88,48,1,9
1,Rafael Uribe Uribe,2,3,4,1,3,2,1,2,88,56,1,4
3,Rafael Uribe Uribe,2,3,3,2,3,2,1,2,88,32,1,6
3,Rafael Uribe Uribe,1,2,1,1,3,2,1,2,22:00:00,35,1,5
3,Rafael Uribe Uribe,2,4,3,4,3,2,1,7,21:30:00,53,1,5
3,Tunjuelito,2,4,5,4,1,2,1,2,06:00:00,44,1,5
3,Tunjuelito,2,3,5,5,4,1,1,4,20:00:00,40,1,6
3,Tunjuelito,2,2,3,4,3,1,1,4,20:00:00,28,1,8
3,Tunjuelito,2,3,5,4,3,1,1,2,21:00:00,46,1,5
2,Tunjuelito,2,2,5,4,4,1,1,12,18:30:00,59,6,6
3,Tunjuelito,2,4,5,4,4,1,1,3,88,24,1,6
2,Tunjuelito,2,4,3,4,3,1,1,3,88,19,1,5
1,Tunjuelito,2,4,5,6,1,1,1,5,20:00:00,42,1,6
1,San Cristóbal,2,4,5,6,1,1,1,2,20:00:00,19,3,6
3,Rafael Uribe Uribe,2,3,3,4,1,2,1,6,19:00:00,19,1,6
3,Rafael Uribe Uribe,2,3,4,4,1,1,1,3,19:00:00,50,5,4
3,Usme,2,4,4,5,3,3,1,2,88,36,1,6
3,Tunjuelito,2,3,3,4,4,1,1,3,20:00:00,26,1,5
2,Rafael Uribe Uribe,2,3,5,4,3,1,1,3,88,31,1,2
3,Rafael Uribe Uribe,2,4,3,4,3,2,1,7,88,37,1,5
3,Tunjuelito,2,1,2,2,3,1,1,3,20:00:00,55,1,3
3,Tunjuelito,2,3,5,3,3,1,1,3,88,41,1,8
2,Tunjuelito,2,3,5,6,3,1,1,5,20:00:00,18,2,5
3,Tunjuelito,2,1,3,5,3,1,1,12,23:00:00,21,1,6
1,Ciudad Bolívar,2,3,4,5,2,2,1,11,88,15,2,5
1,Tunjuelito,2,2,5,1,3,2,1,2,20:00:00,65,1,8
3,Rafael Uribe Uribe,2,3,1,1,4,2,1,2,88,44,1,5
1,Usme,2,3,5,4,3,2,1,2,88,35,1,8
2,Tunjuelito,3,4,5,2,3,1,1,2,88,33,1,8
1,Usme,2,4,3,6,4,1,4,1,88,47,4,4
1,La Candelaria,1,3,3,1,3,2,1,2,20:00:00,23,1,8
3,Tunjuelito,2,3,2,1,3,2,1,2,18:00:00,34,1,5
2,Tunjuelito,2,3,5,3,3,2,1,11,88,34,5,5
3,Tunjuelito,2,4,7,4,3,2,1,2,23:00:00,26,1,5
1,Usme,2,3,5,4,4,3,1,3,88,34,1,5
3,Rafael Uribe Uribe,1,4,3,7,3,2,1,4,88,41,3,7
3,Tunjuelito,2,3,5,6,3,2,1,3,20:00:00,45,1,4
1,Usme,2,3,6,7,3,1,1,2,21:00:00,47,1,6
3,Rafael Uribe Uribe,1,3,5,4,4,1,1,2,17:00:00,34,1,8
1,Rafael Uribe Uribe,2,3,2,5,4,2,1,3,88,21,4,5
3,Tunjuelito,2,3,3,6,1,2,1,3,17:00:00,45,1,4
2,Tunjuelito,2,2,3,4,1,2,1,3,21:00:00,48,1,3
3,Tunjuelito,2,2,6,7,3,2,1,11,23:00:00,18,1,5
3,Tunjuelito,2,2,2,3,1,1,1,2,88,57,1,5
1,Suba,4,2,2,4,1,1,1,2,20:00:00,27,1,6
2,Bosa,2,2,6,7,1,1,1,2,22:00:00,35,1,6
2,Usaquén,4,2,4,5,1,1,5,1,22:00:00,24,1,9
2,Suba,2,2,1,2,3,1,1,5,23:30:00,24,1,8
2,Engativá,4,2,3,7,4,2,1,6,22:00:00,25,3,9
2,Chapinero,4,1,3,2,3,2,8,1,20:00:00,32,1,9
2,Santa Fe,2,2,2,1,1,1,1,4,22:00:00,40,1,8
2,San Cristóbal,2,1,1,3,4,2,1,2,21:00:00,37,3,7
2,Bosa,2,3,2,1,1,1,1,3,22:00:00,52,1,3
2,Engativá,4,2,2,1,3,2,3,3,20:00:00,16,2,6
2,Rafael Uribe Uribe,2,2,1,3,3,1,1,2,19:00:00,42,1,5
2,Engativá,2,2,2,4,3,1,3,4,23:00:00,25,3,6
2,Kennedy,3,2,2,4,3,1,3,2,23:00:00,22,4,8
2,Chapinero,3,2,6,3,4,1,9,1,22:00:00,28,1,8
2,Kennedy,3,2,2,5,3,1,1,2,21:00:00,24,1,6
2,Kennedy,4,2,2,4,4,1,3,1,22:00:00,21,1,8
2,Engativá,3,2,1,2,3,1,1,3,88,57,1,9
3,Barrios Unidos,3,2,1,1,4,1,9,3,21:00:00,32,1,8
3,Fontibón,3,2,1,1,4,1,4,1,88,22,1,8
3,Suba,3,1,2,2,3,2,1,3,21:00:00,46,1,5
3,Fontibón,2,3,3,3,3,1,10,2,21:00:00,20,1,6
1,San Cristóbal,3,2,2,4,3,1,1,2,22:00:00,20,1,6
3,Engativá,3,2,2,2,3,3,1,2,21:00:00,38,1,8
1,Fontibón,3,1,1,4,3,1,4,1,21:00:00,33,1,9
1,Engativá,3,2,4,6,3,2,5,5,88,25,2,8
3,Chapinero,3,3,3,6,3,1,12,1,88,30,1,8
1,Suba,2,2,1,7,3,2,1,13,18:00:00,18,2,7
3,Chapinero,6,1,4,1,4,1,12,1,21:00:00,62,1,9
1,Fontibón,3,2,1,7,3,2,1,2,22:00:00,38,3,6
1,Puente Aranda,3,2,1,7,3,2,3,1,88,17,5,5
1,Kennedy,3,2,2,1,4,2,3,2,20:30:00,28,1,8
1,Kennedy,3,2,4,7,3,2,3,99,88,20,2,7
1,Kennedy,3,2,1,3,3,2,3,1,21:00:00,34,1,9
1,Suba,4,2,6,7,3,2,1,2,21:00:00,27,1,9
2,Suba,3,3,1,4,3,1,1,6,21:00:00,29,1,8
3,Chapinero,4,2,1,3,1,1,9,2,88,21,1,6
1,Chapinero,3,2,4,1,1,2,6,1,21:00:00,31,3,8
3,Engativá,4,3,6,8,3,1,1,1,88,40,1,9
3,Chapinero,4,2,4,1,3,2,3,2,88,31,1,8
1,Barrios Unidos,6,2,4,1,3,1,4,1,20:00:00,40,1,8
3,Rafael Uribe Uribe,3,2,3,4,1,2,12,1,21:00:00,29,3,9
1,Suba,2,2,4,4,3,2,3,1,22:00:00,36,1,2
2,Chapinero,6,3,2,7,3,1,1,2,88,55,1,8
3,Ciudad Bolívar,3,2,5,5,4,2,1,2,88,47,1,3
2,Teusaquillo,4,2,4,1,4,2,5,1,22:00:00,36,1,9
1,Engativá,3,2,2,3,3,2,1,3,88,24,1,8
1,Kennedy,3,2,2,2,3,1,3,2,18:00:00,52,1,8
1,Bosa,3,2,2,2,3,1,3,7,17:00:00,23,2,8
3,Barrios Unidos,3,1,2,2,3,1,1,4,05:00:00,24,2,7
3,Suba,2,1,2,2,4,1,12,11,17:00:00,21,2,7
3,Rafael Uribe Uribe,2,2,2,2,3,1,1,2,20:00:00,21,2,7
2,Chapinero,3,2,1,3,3,1,9,2,23:00:00,30,1,8
1,La Candelaria,3,3,6,1,2,1,3,6,22:00:00,24,3,9
3,Chapinero,3,2,2,2,3,1,1,2,22:00:00,44,1,8
1,Usaquén,4,2,1,1,4,2,1,1,19:00:00,73,1,8
3,Engativá,2,2,2,6,3,1,1,5,19:00:00,22,1,8
2,Suba,3,3,5,2,3,2,1,2,22:00:00,33,1,9
3,San Cristóbal,3,2,1,1,3,1,3,1,21:00:00,23,3,7
1,Suba,4,4,5,5,3,2,1,2,88,57,1,9
1,Puente Aranda,3,1,2,2,2,2,3,2,88,21,2,7
2,Suba,4,3,5,5,1,1,1,2,20:00:00,35,1,9
2,Ciudad Bolívar,2,2,1,1,3,2,1,2,21:00:00,54,1,3
2,Soacha,3,3,5,6,3,1,1,11,18:00:00,19,1,5
2,Rafael Uribe Uribe,3,2,1,1,3,1,1,2,22:00:00,27,1,4
1,Bosa,2,2,1,1,3,2,1,12,16:00:00,38,1,5
1,Soacha,4,2,1,7,3,2,5,1,21:00:00,28,3,8
3,Kennedy,3,3,5,5,3,2,3,2,19:00:00,22,3,8
1,San Cristóbal,2,2,2,2,3,2,1,4,20:00:00,32,1,5
3,Chapinero,3,2,1,1,1,2,5,2,23:00:00,27,3,7
1,Santa Fe,3,2,2,1,1,2,3,1,22:00:00,80,1,2
2,Santa Fe,2,3,6,8,4,1,10,13,88,23,1,6
